[2025-05-19 20:39:40] INFO - Batch 16: H‐loss=0.0751
[2025-05-19 20:39:41] INFO - Batch 17: H‐loss=0.0710
[2025-05-19 20:39:41] INFO - Batch 18: H‐loss=0.0438
[2025-05-19 20:39:41] INFO - Avg H‐loss: 0.0732
[2025-05-19 20:39:41] INFO - Epoch 2/inf
[2025-05-19 20:39:43] INFO - Batch 0: H‐loss=0.0669
[2025-05-19 20:39:44] INFO - Batch 1: H‐loss=0.0519
[2025-05-19 20:39:44] INFO - Batch 2: H‐loss=0.0597
[2025-05-19 20:39:45] INFO - Batch 3: H‐loss=0.0695
[2025-05-19 20:39:46] INFO - Batch 4: H‐loss=0.0714
[2025-05-19 20:39:47] INFO - Batch 5: H‐loss=0.0607
[2025-05-19 20:39:47] INFO - Batch 6: H‐loss=0.0608
[2025-05-19 20:39:48] INFO - Batch 7: H‐loss=0.0627
[2025-05-19 20:39:48] INFO - Batch 8: H‐loss=0.0640
[2025-05-19 20:39:49] INFO - Batch 9: H‐loss=0.0591
[2025-05-19 20:39:50] INFO - Batch 10: H‐loss=0.0502
[2025-05-19 20:39:50] INFO - Batch 11: H‐loss=0.0634
[2025-05-19 20:39:51] INFO - Batch 12: H‐loss=0.0569
[2025-05-19 20:39:52] INFO - Batch 13: H‐loss=0.0653
[2025-05-19 20:39:52] INFO - Batch 14: H‐loss=0.0624
[2025-05-19 20:56:39] INFO - Epoch 1/inf
[2025-05-19 20:56:41] INFO - Batch 0: H‐loss=0.0866
[2025-05-19 20:56:42] INFO - Batch 1: H‐loss=0.0807
[2025-05-19 20:56:42] INFO - Batch 2: H‐loss=0.0696
[2025-05-19 20:56:43] INFO - Batch 3: H‐loss=0.0802
[2025-05-19 20:56:43] INFO - Batch 4: H‐loss=0.0774
[2025-05-19 20:56:44] INFO - Batch 5: H‐loss=0.0819
[2025-05-19 20:56:44] INFO - Batch 6: H‐loss=0.0798
[2025-05-19 20:56:45] INFO - Batch 7: H‐loss=0.0791
[2025-05-19 20:56:45] INFO - Batch 8: H‐loss=0.0747
[2025-05-19 20:56:46] INFO - Batch 9: H‐loss=0.0748
[2025-05-19 20:56:47] INFO - Batch 10: H‐loss=0.0755
[2025-05-19 20:56:47] INFO - Batch 11: H‐loss=0.0739
[2025-05-19 20:56:48] INFO - Batch 12: H‐loss=0.0738
[2025-05-19 20:56:48] INFO - Batch 13: H‐loss=0.0837
[2025-05-19 20:56:49] INFO - Batch 14: H‐loss=0.0809
[2025-05-19 20:56:49] INFO - Batch 15: H‐loss=0.0847
[2025-05-19 20:56:50] INFO - Batch 16: H‐loss=0.0717
[2025-05-19 20:56:50] INFO - Batch 17: H‐loss=0.0784
[2025-05-19 20:56:51] INFO - Batch 18: H‐loss=0.0551
[2025-05-19 20:56:51] INFO - Avg H‐loss: 0.0770
[2025-05-19 20:56:51] INFO - Epoch 2/inf
[2025-05-19 20:56:52] INFO - Batch 0: H‐loss=0.0623
[2025-05-19 20:56:52] INFO - Batch 1: H‐loss=0.0778
[2025-05-19 20:56:53] INFO - Batch 2: H‐loss=0.0782
[2025-05-19 20:56:53] INFO - Batch 3: H‐loss=0.0722
[2025-05-19 20:56:54] INFO - Batch 4: H‐loss=0.0662
[2025-05-19 20:56:55] INFO - Batch 5: H‐loss=0.0645
[2025-05-19 20:56:55] INFO - Batch 6: H‐loss=0.0644
[2025-05-19 20:56:56] INFO - Batch 7: H‐loss=0.0606
[2025-05-19 20:56:56] INFO - Batch 8: H‐loss=0.0608
[2025-05-19 20:56:57] INFO - Batch 9: H‐loss=0.0652
[2025-05-19 20:56:57] INFO - Batch 10: H‐loss=0.0623
[2025-05-19 20:56:58] INFO - Batch 11: H‐loss=0.0572
[2025-05-19 20:56:59] INFO - Batch 12: H‐loss=0.0512
[2025-05-19 20:56:59] INFO - Batch 13: H‐loss=0.0621
[2025-05-19 20:57:00] INFO - Batch 14: H‐loss=0.0478
[2025-05-19 20:57:00] INFO - Batch 15: H‐loss=0.0527
[2025-05-19 20:57:01] INFO - Batch 16: H‐loss=0.0514
[2025-05-19 20:57:01] INFO - Batch 17: H‐loss=0.0489
[2025-05-19 20:57:01] INFO - Batch 18: H‐loss=0.0397
[2025-05-19 20:57:02] INFO - Avg H‐loss: 0.0603
[2025-05-19 20:57:02] INFO - Epoch 3/inf
[2025-05-19 20:57:03] INFO - Batch 0: H‐loss=0.0511
[2025-05-19 20:57:03] INFO - Batch 1: H‐loss=0.0531
[2025-05-19 20:57:04] INFO - Batch 2: H‐loss=0.0537
[2025-05-19 20:57:04] INFO - Batch 3: H‐loss=0.0553
